date,AQI,??,????,pm
11/1/2016,63,35~112,?,41.9
11/2/2016,138,112~204,????,104.6
11/3/2016,235,142~326,????,189.3
11/4/2016,294,241~375,????,243.8
11/5/2016,232,175~264,????,183
11/6/2016,97,62~175,?,71.9
11/7/2016,58,16~144,?,41.1
11/8/2016,57,19~118,?,35.9
11/9/2016,194,114~275,????,152.6
11/10/2016,202,72~282,????,156.7
11/11/2016,109,62~162,????,81.8
11/12/2016,100,67~139,????,75
11/13/2016,127,65~216,????,95.1
11/14/2016,78,27~209,?,44.4
11/15/2016,58,24~129,?,36
11/16/2016,129,95~203,????,97.2
11/17/2016,151,104~208,????,114.2
11/18/2016,241,209~276,????,190.8
11/19/2016,168,42~273,????,128.9
11/20/2016,76,18~143,?,55
11/21/2016,20,15~26,?,10
11/22/2016,22,16~36,?,8.5
11/23/2016,35,14~56,?,19.1
11/24/2016,97,23~215,?,69.7
11/25/2016,199,122~359,????,157.6
11/26/2016,316,249~360,????,265
11/27/2016,81,19~342,?,59.7
11/28/2016,83,40~128,?,60.2
11/29/2016,129,69~189,????,97.5
11/30/2016,125,16~231,????,92.5
